dessert_category,region,query,name,road_address,jibun_address,telephone,naver_link,category_text,longitude,latitude,geocode_error
saltbread,daegu,대구 중구 소금빵,삼송빵집 중앙로점,대구광역시 중구 중앙대로 397,대구광역시 중구 동성로3가 1-3,,http://www.ssbnc.kr/,"카페,디저트>베이커리",128.59344,35.8686159,
saltbread,daegu,대구 중구 소금빵,팜앤힐스,대구광역시 중구 동성로6길 43 1층,대구광역시 중구 공평동 16-22 1층,,https://www.instagram.com/farm_and_hills,음식점>양식,128.5977917,35.8687893,
saltbread,daegu,대구 수성구 소금빵,르배 본점,대구광역시 수성구 화랑로8길 11-11 1층,대구광역시 수성구 만촌동 1356-19 1층,,https://www.instagram.com/lebaebakery/,"카페,디저트>베이커리",128.6337381,35.8704369,
saltbread,daegu,대구 서구 소금빵 베이커리,삼송빵집 서대구점,대구광역시 서구 국채보상로 243 한국업사이클센터 1층,대구광역시 서구 평리동 1301 한국업사이클센터 1층,,https://blog.naver.com/samsongbakery1957,"카페,디저트>베이커리",128.5576449,35.871453,
saltbread,daegu,대구 서구 소금빵,수녹,대구광역시 서구 달서로26길 15-5 1층,대구광역시 서구 비산동 415-13 1층,,,"음식점>카페,디저트",128.5729228,35.8732393,
saltbread,daegu,대구 달성군 소금빵,벨베꼼메,대구광역시 달성군 다사읍 세천북로 66,대구광역시 달성군 다사읍 세천리 162,,https://www.instagram.com/velbekomme_official,"음식점>카페,디저트",128.4750728,35.8782158,
saltbread,daegu,대구 소금빵,슬로우벗베럴 대구점,대구광역시 동구 신평로 113,대구광역시 동구 신평동 313-1,,https://www.instagram.com/slow_but_better_official,"음식점>카페,디저트",128.6822274,35.8794404,
saltbread,daegu,대구 북구 소금빵,빌리웍스,대구광역시 북구 고성북로10길 41 빌리웍스,대구광역시 북구 고성동3가 1-13 빌리웍스,,http://billyworks.kr,"음식점>카페,디저트",128.5885012,35.8831427,
saltbread,daegu,대구 소금빵,마고플레인아양,대구광역시 동구 해동로 107 마고플레인아양,대구광역시 동구 지저동 872-1 마고플레인아양,,https://www.instagram.com/margaux__plain/,"카페,디저트>베이커리",128.6419965,35.8903542,
saltbread,daegu,대구 북구 소금빵,스테이블모먼트 복현점,대구광역시 북구 복현로8길 19-36 스테이블모먼트,대구광역시 북구 복현동 253-3 스테이블모먼트,,https://www.instagram.com/stable_moment01/,"음식점>카페,디저트",128.6257967,35.8973477,
saltbread,daegu,대구 소금빵,소소래,대구광역시 북구 학정로 284 (구암동),대구광역시 북구 구암동 482-51,,https://smartstore.naver.com/sosorae,"음식점>카페,디저트",128.5617221,35.9297503,
saltbread,daegu,대구 북구 소금빵,레이지모닝,대구광역시 북구 동천로 5-15 레이지모닝 칠곡점,대구광역시 북구 동천동 874-4 레이지모닝 칠곡점,,http://www.instagram.com/lazymorning_chilgok,"음식점>카페,디저트",128.5565602,35.9322912,
saltbread,daegu,대구 동구 소금빵,브리니 팔공,대구광역시 동구 팔공로206길 4 브리니 팔공,대구광역시 동구 백안동 536 브리니 팔공,,https://www.instagram.com/briny_palgong,"음식점>카페,디저트",128.6908899,35.9533128,
saltbread,daegu,대구 북구 소금빵,라운드라운드,대구광역시 북구 학정로 550 1층,대구광역시 북구 학정동 926-1 1층,,https://blog.naver.com/roundroundbread,"카페,디저트>베이커리",128.5660009,35.953612,
saltbread,daegu,대구 동구 소금빵,커들포드,대구광역시 동구 팔공로 1334 커들포드,대구광역시 동구 진인동 394-2 커들포드,,https://www.instagram.com/cuddlepod_official,"음식점>카페,디저트",128.7234507,35.9592982,
saltbread,daegu,대구 동구 소금빵,초이스엠,대구광역시 동구 팔공산로 260 초이스엠,대구광역시 동구 덕곡동 105-1 초이스엠,,https://youtu.be/Ke70zHMIm10?si=xKqfX6ZEvPMAnf2c,"카페,디저트>베이커리",128.6139396,35.9928722,
